match_id,Winner
19901103-M-Paris_Masters-SF-Sergi_Bruguera-Stefan_Edberg,2
19901104-M-Paris_Masters-F-Boris_Becker-Stefan_Edberg,2
19901112-M-Tour_Finals-RR-Andre_Agassi-Stefan_Edberg,2
19901112-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,2
19901115-M-Tour_Finals-RR-Pete_Sampras-Stefan_Edberg,2
19901117-M-Tour_Finals-SF-Boris_Becker-Andre_Agassi,2
19901117-M-Tour_Finals-SF-Ivan_Lendl-Stefan_Edberg,2
19901118-M-Tour_Finals-F-Andre_Agassi-Stefan_Edberg,1
19901215-M-Grand_Slam_Cup-SF-Pete_Sampras-Michael_Chang,1
19901216-M-Grand_Slam_Cup-F-Pete_Sampras-Brad_Gilbert,1
19910118-M-Australian_Open-R32-Omar_Camporese-Boris_Becker,2
19910119-M-Australian_Open-R32-Pat_Cash-Stefan_Edberg,2
19910122-M-Australian_Open-QF-Guy_Forget-Boris_Becker,2
19910123-M-Australian_Open-QF-Jaime_Yzaga-Stefan_Edberg,2
19910125-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl,2
19910126-M-Australian_Open-SF-Boris_Becker-Patrick_Mcenroe,1
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2
19910216-M-Philadelphia-SF-John_Mcenroe-Pete_Sampras,2
19910217-M-Philadelphia-F-Pete_Sampras-Ivan_Lendl,2
19910224-M-Memphis-F-Ivan_Lendl-Michael_Stich,1
19910224-M-Stuttgart_Indoor-F-Jonas_Svensson-Stefan_Edberg,2
19910303-M-Rotterdam-F-Omar_Camporese-Ivan_Lendl,1
19910309-M-Indian_Wells_Masters-SF-Guy_Forget-Stefan_Edberg,1
19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget,1
19910324-M-Miami_Masters-F-Jim_Courier-David_Wheaton,1
19910414-M-Tokyo_Outdoor-F-Stefan_Edberg-Ivan_Lendl,1
